run_id,sample_id,sample_alias,biosample_id,bioproject_id,library_layout,amplicon,experiment_title,experiment_id,experiment_instrument,experiment_platform
NA,0ef27a39c9e7,10317.000029455,SAMEA3633721,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090545,11248a0c636f,10317.000023953,SAMEA3633109,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023953,ERX1170099,Illumina MiSeq,ILLUMINA
NA,11248a0c636f,10317.000023953,SAMEA3633109,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090455,112e108265e3,10317.000022288,SAMEA3633019,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022288,ERX1170009,Illumina MiSeq,ILLUMINA
NA,112e108265e3,10317.000022288,SAMEA3633019,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091024,14696e7dadb5,10317.000028259,SAMEA3633588,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028259,ERX1170578,Illumina HiSeq 2500,ILLUMINA
NA,14696e7dadb5,10317.000028259,SAMEA3633588,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090257,152cb43e45b6,10317.000014008,SAMEA3632838,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000014008,ERX1169811,Illumina MiSeq,ILLUMINA
NA,152cb43e45b6,10317.000014008,SAMEA3632838,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090420,165b0e2337d2,10317.000022080,SAMEA3632984,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022080,ERX1169974,Illumina MiSeq,ILLUMINA
NA,165b0e2337d2,10317.00002208,SAMEA3632984,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090633,16f40e03dfa7,10317.000027573,SAMEA3633197,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000027573,ERX1170187,Illumina MiSeq,ILLUMINA
NA,16f40e03dfa7,10317.000027573,SAMEA3633197,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090496,197c9002cc53,10317.000023075,SAMEA3633060,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023075,ERX1170050,Illumina MiSeq,ILLUMINA
NA,197c9002cc53,10317.000023075,SAMEA3633060,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090350,198ad79fc814,10317.000020447,SAMEA3632914,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000020447,ERX1169904,Illumina MiSeq,ILLUMINA
NA,198ad79fc814,10317.000020447,SAMEA3632914,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090446,1a2b89e559af,10317.000022250,SAMEA3633010,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022250,ERX1170000,Illumina MiSeq,ILLUMINA
NA,1a2b89e559af,10317.00002225,SAMEA3633010,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091148,1b8fcfba5a22,10317.000029400,SAMEA3633712,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029400,ERX1170702,Illumina HiSeq 2500,ILLUMINA
NA,1b8fcfba5a22,10317.0000294,SAMEA3633712,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091015,1c1d9b4ee41c,10317.000028194,SAMEA3633579,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028194,ERX1170569,Illumina HiSeq 2500,ILLUMINA
NA,1c1d9b4ee41c,10317.000028194,SAMEA3633579,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091056,1d23fccea240,10317.000028656,SAMEA3633620,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028656,ERX1170610,Illumina HiSeq 2500,ILLUMINA
NA,1d23fccea240,10317.000028656,SAMEA3633620,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090539,1dfd8d31b841,10317.000023893,SAMEA3633103,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023893,ERX1170093,Illumina MiSeq,ILLUMINA
NA,1dfd8d31b841,10317.000023893,SAMEA3633103,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090378,1e34f096ef06,10317.000020695,SAMEA3632942,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000020695,ERX1169932,Illumina MiSeq,ILLUMINA
NA,1e34f096ef06,10317.000020695,SAMEA3632942,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091046,21a8dc7160ce,10317.000028594,SAMEA3633610,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028594,ERX1170600,Illumina HiSeq 2500,ILLUMINA
NA,21a8dc7160ce,10317.000028594,SAMEA3633610,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1249785,25e0bcb1fd7f,10317.000028592,SAMEA3633608,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1358:10317.000028592,ERX1321724,Illumina MiSeq,ILLUMINA
NA,25e0bcb1fd7f,10317.000028592,SAMEA3633608,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090271,2643fada9b15,10317.000015304,SAMEA3632847,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000015304,ERX1169825,Illumina MiSeq,ILLUMINA
NA,2643fada9b15,10317.000015304,SAMEA3632847,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091021,27af48c8e3be,10317.000028239,SAMEA3633585,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028239,ERX1170575,Illumina HiSeq 2500,ILLUMINA
NA,27af48c8e3be,10317.000028239,SAMEA3633585,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091198,27c12fcb8723,10317.000030252,SAMEA3633762,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000030252,ERX1170752,Illumina HiSeq 2500,ILLUMINA
NA,27c12fcb8723,10317.000030252,SAMEA3633762,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090804,27e7ff02ae00,10317.000020602,SAMEA3633368,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000020602,ERX1170358,Illumina HiSeq 2500,ILLUMINA
NA,27e7ff02ae00,10317.000020602,SAMEA3633368,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090444,2a413f563aa3,10317.000022173,SAMEA3633008,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022173,ERX1169998,Illumina MiSeq,ILLUMINA
NA,2a413f563aa3,10317.000022173,SAMEA3633008,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090410,2c480b0cd35b,10317.000022018,SAMEA3632974,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022018,ERX1169964,Illumina MiSeq,ILLUMINA
NA,2c480b0cd35b,10317.000022018,SAMEA3632974,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091002,2e96e684f5a4,10317.000028121,SAMEA3633566,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028121,ERX1170556,Illumina HiSeq 2500,ILLUMINA
NA,2e96e684f5a4,10317.000028121,SAMEA3633566,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091169,31cf4e1d60f5,10317.000029507,SAMEA3633733,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029507,ERX1170723,Illumina HiSeq 2500,ILLUMINA
NA,31cf4e1d60f5,10317.000029507,SAMEA3633733,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1249808,339a34fbcfe4,10317.000029429,SAMEA3633715,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1358:10317.000029429,ERX1321747,Illumina MiSeq,ILLUMINA
NA,339a34fbcfe4,10317.000029429,SAMEA3633715,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090989,37e05e8b1020,10317.000028076,SAMEA3633553,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028076,ERX1170543,Illumina HiSeq 2500,ILLUMINA
NA,37e05e8b1020,10317.000028076,SAMEA3633553,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091042,3893611e48b1,10317.000028543,SAMEA3633606,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028543,ERX1170596,Illumina HiSeq 2500,ILLUMINA
NA,3893611e48b1,10317.000028543,SAMEA3633606,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090470,398572d17015,10317.000022457,SAMEA3633034,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022457,ERX1170024,Illumina MiSeq,ILLUMINA
NA,398572d17015,10317.000022457,SAMEA3633034,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091131,39c7da016856,10317.000029339,SAMEA3633695,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029339,ERX1170685,Illumina HiSeq 2500,ILLUMINA
NA,39c7da016856,10317.000029339,SAMEA3633695,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091055,3bb72631a005,10317.000028653,SAMEA3633619,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028653,ERX1170609,Illumina HiSeq 2500,ILLUMINA
NA,3bb72631a005,10317.000028653,SAMEA3633619,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090725,3d5cedefa3df,10317.000029207,SAMEA3633289,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000029207,ERX1170279,Illumina MiSeq,ILLUMINA
NA,3d5cedefa3df,10317.000029207,SAMEA3633289,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090218,3dc73462ace2,10317.000002251,SAMEA3632814,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000002251,ERX1169772,Illumina MiSeq,ILLUMINA
NA,3dc73462ace2,10317.000002251,SAMEA3632814,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090713,3dc74a064ead,10317.000029147,SAMEA3633277,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000029147,ERX1170267,Illumina MiSeq,ILLUMINA
NA,3dc74a064ead,10317.000029147,SAMEA3633277,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090419,3f64d7c0c30f,10317.000022065,SAMEA3632983,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022065,ERX1169973,Illumina MiSeq,ILLUMINA
NA,3f64d7c0c30f,10317.000022065,SAMEA3632983,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090524,40a49b56626e,10317.000023413,SAMEA3633088,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023413,ERX1170078,Illumina MiSeq,ILLUMINA
NA,40a49b56626e,10317.000023413,SAMEA3633088,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090531,40f20ba97b5d,10317.000023779,SAMEA3633095,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023779,ERX1170085,Illumina MiSeq,ILLUMINA
NA,40f20ba97b5d,10317.000023779,SAMEA3633095,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090552,415b4db1f4fb,10317.000026038,SAMEA3633116,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000026038,ERX1170106,Illumina MiSeq,ILLUMINA
NA,415b4db1f4fb,10317.000026038,SAMEA3633116,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090462,43d346953a1d,10317.000022328,SAMEA3633026,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022328,ERX1170016,Illumina MiSeq,ILLUMINA
NA,43d346953a1d,10317.000022328,SAMEA3633026,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090396,45cf40087ed6,10317.000021246,SAMEA3632960,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000021246,ERX1169950,Illumina MiSeq,ILLUMINA
NA,45cf40087ed6,10317.000021246,SAMEA3632960,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090705,4d55564ac9a9,10317.000028903,SAMEA3633269,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000028903,ERX1170259,Illumina MiSeq,ILLUMINA
NA,4d55564ac9a9,10317.000028903,SAMEA3633269,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090286,4dff000e53bd,10317.000016459,SAMEA3632856,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000016459,ERX1169840,Illumina MiSeq,ILLUMINA
NA,4dff000e53bd,10317.000016459,SAMEA3632856,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091051,4e62702964d1,10317.000028647,SAMEA3633615,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028647,ERX1170605,Illumina HiSeq 2500,ILLUMINA
NA,4e62702964d1,10317.000028647,SAMEA3633615,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091199,4e63f253bdca,10317.000030290,SAMEA3633763,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000030290,ERX1170753,Illumina HiSeq 2500,ILLUMINA
NA,4e63f253bdca,10317.00003029,SAMEA3633763,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1249787,4eaec271bf2d,10317.000028650,SAMEA3633617,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1358:10317.000028650,ERX1321726,Illumina MiSeq,ILLUMINA
NA,4eaec271bf2d,10317.00002865,SAMEA3633617,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090463,510c1e2b5a97,10317.000022329,SAMEA3633027,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022329,ERX1170017,Illumina MiSeq,ILLUMINA
NA,510c1e2b5a97,10317.000022329,SAMEA3633027,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091173,51759249374f,10317.000029521,SAMEA3633737,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029521,ERX1170727,Illumina HiSeq 2500,ILLUMINA
NA,51759249374f,10317.000029521,SAMEA3633737,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090807,56fed3e7ae2e,10317.000020662,SAMEA3633371,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000020662,ERX1170361,Illumina HiSeq 2500,ILLUMINA
NA,56fed3e7ae2e,10317.000020662,SAMEA3633371,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090412,573ba14dac3f,10317.000022022,SAMEA3632976,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022022,ERX1169966,Illumina MiSeq,ILLUMINA
NA,573ba14dac3f,10317.000022022,SAMEA3632976,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR2239250,5ab9fbe114c5,10317.000028169,SAMEA3633574,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_4255:10317.000028169,ERX2291410,Illumina HiSeq 2500,ILLUMINA
NA,5ab9fbe114c5,10317.000028169,SAMEA3633574,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090493,5c1cc34bff6e,10317.000023053,SAMEA3633057,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023053,ERX1170047,Illumina MiSeq,ILLUMINA
NA,5c1cc34bff6e,10317.000023053,SAMEA3633057,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090620,5e2b34eb478d,10317.000027281,SAMEA3633184,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000027281,ERX1170174,Illumina MiSeq,ILLUMINA
NA,5e2b34eb478d,10317.000027281,SAMEA3633184,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR2032514,60771d9f570e,10317.000031252,SAMEA104162636,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_2599:10317.000031252,ERX2091571,Illumina MiSeq,ILLUMINA
NA,60771d9f570e,10317.000031252,SAMEA104162636,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091027,6131dc698d2c,10317.000028309,SAMEA3633591,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028309,ERX1170581,Illumina HiSeq 2500,ILLUMINA
NA,6131dc698d2c,10317.000028309,SAMEA3633591,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090492,6662b43a4939,10317.000023052,SAMEA3633056,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023052,ERX1170046,Illumina MiSeq,ILLUMINA
NA,6662b43a4939,10317.000023052,SAMEA3633056,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090397,67d3acb411f4,10317.000021526,SAMEA3632961,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000021526,ERX1169951,Illumina MiSeq,ILLUMINA
NA,67d3acb411f4,10317.000021526,SAMEA3632961,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091134,68d547d6f6f5,10317.000029349,SAMEA3633698,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029349,ERX1170688,Illumina HiSeq 2500,ILLUMINA
NA,68d547d6f6f5,10317.000029349,SAMEA3633698,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1842128,6ae6401e47ac,10317.000023515,SAMEA3633089,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_2252:10317.000023515,ERX1904105,Illumina MiSeq,ILLUMINA
NA,6ae6401e47ac,10317.000023515,SAMEA3633089,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090664,6d8c7e7be484,10317.000027784,SAMEA3633228,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000027784,ERX1170218,Illumina MiSeq,ILLUMINA
NA,6d8c7e7be484,10317.000027784,SAMEA3633228,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090532,6dc60456470c,10317.000023780,SAMEA3633096,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023780,ERX1170086,Illumina MiSeq,ILLUMINA
NA,6dc60456470c,10317.00002378,SAMEA3633096,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090503,6ea19f69466c,10317.000023299,SAMEA3633067,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000023299,ERX1170057,Illumina MiSeq,ILLUMINA
NA,6ea19f69466c,10317.000023299,SAMEA3633067,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090994,6f11e5900a4a,10317.000028082,SAMEA3633558,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028082,ERX1170548,Illumina HiSeq 2500,ILLUMINA
NA,6f11e5900a4a,10317.000028082,SAMEA3633558,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090358,70c41b21410c,10317.000020502,SAMEA3632922,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000020502,ERX1169912,Illumina MiSeq,ILLUMINA
NA,70c41b21410c,10317.000020502,SAMEA3632922,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091162,71e51f92553c,10317.000029472,SAMEA3633726,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000029472,ERX1170716,Illumina HiSeq 2500,ILLUMINA
NA,71e51f92553c,10317.000029472,SAMEA3633726,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1091029,72b31b575900,10317.000028311,SAMEA3633593,PRJEB11419,SINGLE,bac_16s,Illumina HiSeq 2500 sequencing; qiita_ptid_1165:10317.000028311,ERX1170583,Illumina HiSeq 2500,ILLUMINA
NA,72b31b575900,10317.000028311,SAMEA3633593,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090437,75912f05ba4c,10317.000022160,SAMEA3633001,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022160,ERX1169991,Illumina MiSeq,ILLUMINA
NA,75912f05ba4c,10317.00002216,SAMEA3633001,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090605,762f48295fa1,10317.000026613,SAMEA3633169,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000026613,ERX1170159,Illumina MiSeq,ILLUMINA
NA,762f48295fa1,10317.000026613,SAMEA3633169,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090442,763cdf7101d3,10317.000022167,SAMEA3633006,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000022167,ERX1169996,Illumina MiSeq,ILLUMINA
NA,763cdf7101d3,10317.000022167,SAMEA3633006,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090703,7830e6bfc250,10317.000028896,SAMEA3633267,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000028896,ERX1170257,Illumina MiSeq,ILLUMINA
NA,7830e6bfc250,10317.000028896,SAMEA3633267,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
ERR1090628,7943956a6978,10317.000027315,SAMEA3633192,PRJEB11419,SINGLE,bac_16s,Illumina MiSeq sequencing; qiita_ptid_1164:10317.000027315,ERX1170182,Illumina MiSeq,ILLUMINA
NA,7943956a6978,10317.000027315,SAMEA3633192,PRJEB11419,PAIRED,fun_its,NA,NA,NA,NA
