experiment_id,biosample_id,sample_id,experiment_title,experiment_instrument,experiment_platform
ERX3292199,SAMEA5555337,e17260a9bec3,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292198,SAMEA5555336,739c9a7dfdec,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292197,SAMEA5555335,6c4118c7ae8c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292196,SAMEA5555334,8d68857ef424,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292195,SAMEA5555333,4c3b88a01e57,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292194,SAMEA5555332,140978cad48c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292193,SAMEA5555331,bbe64cff4ead,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292192,SAMEA5555330,5e63cd7f37bf,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292191,SAMEA5555329,c4401dc2f488,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292190,SAMEA5555328,70c4e1373225,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292189,SAMEA5555327,9cdf8d1f98fd,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292188,SAMEA5555326,05bfafb6890d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292187,SAMEA5555325,6d68d9060b92,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292186,SAMEA5555324,e281aa535d06,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292185,SAMEA5555323,2993f4a5011f,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292184,SAMEA5555322,5c56afd3bd65,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292183,SAMEA5555321,0732f69c51c7,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292182,SAMEA5555320,3a3ce3942580,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292181,SAMEA5555319,5222f6fd9f51,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292180,SAMEA5555318,ccd76dfcb872,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292179,SAMEA5555317,92b0a540671c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292178,SAMEA5555316,8ff14287034b,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292177,SAMEA5555315,dba1f8c99024,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292176,SAMEA5555314,2c9d86cffb69,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292175,SAMEA5555313,271c970f1a3a,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292174,SAMEA5555312,a3d06f14c527,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292173,SAMEA5555311,be7a52fc79ec,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292172,SAMEA5555310,e3398c443b7d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292171,SAMEA5555309,ef68932058c7,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292170,SAMEA5555308,25a86acdcf49,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292169,SAMEA5555307,61878669f904,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3292168,SAMEA5555306,3f31766e69d7,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237905,SAMEA5410530,57f47f532a1b,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237904,SAMEA5410529,1033a0a5efda,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237903,SAMEA5410528,4134c0441fae,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237902,SAMEA5410533,f824bbb0ef61,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237901,SAMEA5410532,f955ef58d954,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237900,SAMEA5410531,9e69892b0edc,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237899,SAMEA5410536,51f6ce9104e9,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237898,SAMEA5410535,9e16cd50044e,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237897,SAMEA5410534,5bbcecdaf236,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237890,SAMEA5410551,eb742419fea8,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237889,SAMEA5410550,689f94589adc,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237888,SAMEA5410549,4f324ffd71ec,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237887,SAMEA5410548,fc974fb9f7ab,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237886,SAMEA5410547,88af8457047e,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237885,SAMEA5410546,3b81c7a9704d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237845,SAMEA5410470,57f47f532a1b,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237844,SAMEA5410469,1033a0a5efda,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237843,SAMEA5410468,4134c0441fae,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237842,SAMEA5410473,f824bbb0ef61,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237841,SAMEA5410472,f955ef58d954,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237840,SAMEA5410471,9e69892b0edc,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237839,SAMEA5410476,51f6ce9104e9,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237838,SAMEA5410475,9e16cd50044e,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237837,SAMEA5410474,5bbcecdaf236,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237830,SAMEA5410491,eb742419fea8,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237829,SAMEA5410490,689f94589adc,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237828,SAMEA5410489,4f324ffd71ec,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237827,SAMEA5410488,fc974fb9f7ab,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237826,SAMEA5410487,88af8457047e,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237825,SAMEA5410486,3b81c7a9704d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237823,SAMEA5410440,deb8170d4c48,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237822,SAMEA5410448,511b1a932a0d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237821,SAMEA5410439,8af42e52e612,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237820,SAMEA5410447,30f3cac46334,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237819,SAMEA5410438,86e95708a702,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237818,SAMEA5410452,930a8281ee06,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237817,SAMEA5410443,581102353d52,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237816,SAMEA5410451,6a1bd5fe1675,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237815,SAMEA5410442,61817b23a259,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237814,SAMEA5410450,2b004daf7e5e,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237813,SAMEA5410441,121b5e599011,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237812,SAMEA5410446,cfcd00bf211d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237811,SAMEA5410445,8760cba32740,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237810,SAMEA5410444,7e71a78db9e5,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237809,SAMEA5410455,6373f6cef92d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237808,SAMEA5410454,d66efae4fe46,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237807,SAMEA5410453,0c675882f106,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237806,SAMEA5410467,398f3fc8be34,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237805,SAMEA5410461,7065df6629d5,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237804,SAMEA5410466,e694c13dce20,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237803,SAMEA5410460,8c71684cc648,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237802,SAMEA5410465,cfc1964ba483,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237801,SAMEA5410459,f7a77ec58484,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237800,SAMEA5410458,31106d9ba11f,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237799,SAMEA5410457,5e08b333d49c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237798,SAMEA5410456,a29d14797e1d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237797,SAMEA5410464,853d07312430,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237796,SAMEA5410463,735a45e21bb9,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237795,SAMEA5410462,1e1c6106d2e9,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237763,SAMEA5410380,deb8170d4c48,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237762,SAMEA5410388,511b1a932a0d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237761,SAMEA5410379,8af42e52e612,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237760,SAMEA5410387,30f3cac46334,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237759,SAMEA5410378,86e95708a702,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237758,SAMEA5410392,930a8281ee06,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237757,SAMEA5410383,581102353d52,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237756,SAMEA5410391,6a1bd5fe1675,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237755,SAMEA5410382,61817b23a259,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237754,SAMEA5410390,2b004daf7e5e,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237753,SAMEA5410381,121b5e599011,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237752,SAMEA5410386,cfcd00bf211d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237751,SAMEA5410385,8760cba32740,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237750,SAMEA5410384,7e71a78db9e5,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237749,SAMEA5410395,6373f6cef92d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237748,SAMEA5410394,d66efae4fe46,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237747,SAMEA5410393,0c675882f106,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237746,SAMEA5410407,398f3fc8be34,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237745,SAMEA5410401,7065df6629d5,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237744,SAMEA5410406,e694c13dce20,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237743,SAMEA5410400,8c71684cc648,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237742,SAMEA5410405,cfc1964ba483,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237741,SAMEA5410399,f7a77ec58484,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237740,SAMEA5410398,31106d9ba11f,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237739,SAMEA5410397,5e08b333d49c,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237738,SAMEA5410396,a29d14797e1d,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237737,SAMEA5410404,853d07312430,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237736,SAMEA5410403,735a45e21bb9,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3237735,SAMEA5410402,1e1c6106d2e9,Ion Torrent PGM sequencing,Ion Torrent PGM,ION_TORRENT
ERX3345611,SAMEA5577148,6e231c9345de,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345610,SAMEA5577147,b330d27bef91,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345609,SAMEA5577146,7413eec15550,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345608,SAMEA5577145,f88950ac4c28,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345607,SAMEA5577144,3e8c04ad68ce,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345606,SAMEA5577143,fd3354b91d17,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345605,SAMEA5577142,cb199cbdded6,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345604,SAMEA5577141,a5a133aaa9ef,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345603,SAMEA5577140,326d2d90a433,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345602,SAMEA5577139,6e231c9345de,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345601,SAMEA5577138,b330d27bef91,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345600,SAMEA5577137,7413eec15550,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345599,SAMEA5577136,f88950ac4c28,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345598,SAMEA5577135,3e8c04ad68ce,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345597,SAMEA5577134,fd3354b91d17,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345596,SAMEA5577133,cb199cbdded6,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345595,SAMEA5577132,a5a133aaa9ef,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345594,SAMEA5577131,326d2d90a433,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345585,SAMEA5577122,af0fd6ab16d4,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345584,SAMEA5577121,d5193c4dbe67,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345583,SAMEA5577120,982e9bdace6c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345582,SAMEA5577119,dba3fb6b87e8,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345581,SAMEA5577118,703fb694c508,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345580,SAMEA5577117,585ea2bec668,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345579,SAMEA5577116,b2c2744881ce,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345578,SAMEA5577115,be06c8ab78fd,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345577,SAMEA5577114,334de05bc4d3,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345576,SAMEA5577113,41e463d6034c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345575,SAMEA5577112,081be398c301,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345574,SAMEA5577111,4822f0f1f54a,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345573,SAMEA5577110,9592a59d4738,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345572,SAMEA5577109,45aa0efad360,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345571,SAMEA5577108,4fb07c31e028,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345570,SAMEA5577107,5b902e6e5023,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345569,SAMEA5577106,d0e732dec136,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345568,SAMEA5577105,97742745363e,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345567,SAMEA5577104,50ecf302dd01,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345566,SAMEA5577103,4a8d9a20ade3,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345565,SAMEA5577102,f1bf02ae960b,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345564,SAMEA5577101,f0fa325a8a05,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345563,SAMEA5577100,953e4c41b3eb,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345562,SAMEA5577099,94365e51644c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345561,SAMEA5577098,d3196a179f1e,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345560,SAMEA5577097,c608b78ad787,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345559,SAMEA5577096,1674c88d7a82,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345558,SAMEA5577095,a31265905641,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345557,SAMEA5577094,15d26c84a44c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345556,SAMEA5577093,9059204db048,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345555,SAMEA5577092,9b8c09d0428d,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345554,SAMEA5577091,aa9e752e7095,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345553,SAMEA5577090,e490eb5ba7c8,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345552,SAMEA5577089,6a531039f01a,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345551,SAMEA5577088,e905f63d270f,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345550,SAMEA5577087,e0cb21e2f26c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345549,SAMEA5577086,154835072da6,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345548,SAMEA5577085,c3accce2e11d,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345547,SAMEA5577084,636d663c6fff,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345546,SAMEA5577083,0a47315b305c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345545,SAMEA5577082,45c374d00e06,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345544,SAMEA5577081,0393238edefa,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345543,SAMEA5577080,3d4555d10568,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345542,SAMEA5577079,e1012f117427,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345541,SAMEA5577078,59eb49cd0612,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345540,SAMEA5577077,c6c8816db1d8,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345539,SAMEA5577076,76a19293fd2b,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345538,SAMEA5577075,c4ca0a86b40b,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345537,SAMEA5577074,5d4535f4d7fd,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345536,SAMEA5577073,45cca018565d,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345535,SAMEA5577072,ca6127e503bd,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345534,SAMEA5577071,48fb358205c8,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345533,SAMEA5577070,d08c273f7a91,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345532,SAMEA5577069,2aad9a5bd756,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345531,SAMEA5577068,725205450466,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345530,SAMEA5577067,af0fd6ab16d4,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345529,SAMEA5577066,d5193c4dbe67,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
ERX3345528,SAMEA5577065,982e9bdace6c,Illumina MiSeq sequencing,Illumina MiSeq,ILLUMINA
