bioproject_id,bioproject_title,bioproject_description,bioproject_submission_date,bioproject_submission_organization,bioproject_organism
PRJNA287840,watershed biome Raw sequence reads,"Water quality is currently assessed primarily at the tap using culture-based indicators of microbial pollution, such as coliform bacteria and E. coli. This paradigm is restrictive because it relies on century-old technologies and does not consider the broader impact of microbial pollution on the larger ecosystem. Furthermore, this approach enables only reactive responses focused on human health rather than proactive measures that protect water at its source: the watershed.</p><p>Our goal is to change the way we monitor water quality in our watersheds. Advances in genomic technology have enabled us to broadly study the microbial community composition of watersheds and to understand how this community changes in response to environmental perturbations. By broadly surveying the microbial community in our watersheds we intend to discover novel microbial indicators associated with polluted versus healthy watersheds. Our study has three principal goals:</p><p>1) To use metagenomics to measure the impact of pollution on the bacterial communities in different watersheds.</p><p>2) To use amplicon sequencing of various microbial genes including the 16S and 18S rRNA and gp23 genes to quantify the microbiome, which consist of viruses, bacteria, and small eukaryotes (which include protists and fungi), of different watersheds.</p><p>3) To create novel tests that monitor these microbial community changes in order to detect pollution and pinpoint the specific source of the pollution.</p><p>By creating new tests that focus on overall watershed health, as opposed to just human health, we will provide the advanced tools needed to protect our watersheds.",2015-06-23,The University of British Columbia,freshwater metagenome
PRJNA295773,Microbial endophytes in the grass Deschampsia flexuosa - ecology and use in restoration of Arctic habitats,"We investigated the D. flexuosa associated microbial community structure at two different spatial scales - at plant scale (bulk soil adjacent to the plant, rhizosphere, root and leaf endosphere) and at ecosystem scale (arctic blow-out areas with two successional stages). We examined the microbial community structure and diversity with 16S rRNA (bacteria) and ITS (Fungi) gene sequencing by Ion torrent next generation sequencing.",2015-09-15,University of Jyvaskyla,endophyte metagenome
PRJNA324410,Coral,"Characterization of fungal and bacterial communities associated with inlets, ocean water, and coral tissue samples",2016-06-03,University of Minnesota,marine metagenome
PRJNA359237,Community analysis reveals microbial sharing and specialization in a Costa Rican ant-plant-hemipteran symbiosis,"Here we describe microbial community structure of bacteria and fungi associated with the ants, scale insects, and trees in a tropical ant-plant symbiosis.",2016-12-29,mothur,NA
PRJNA378860,Insights into the microbial diversity composition of uncontaminated and oil-contaminated soils,"Soils contaminated with petroleum, diesel and gasoline oil, respectively, were used to investigate the impact of each oil on the microbial community composition and diversity by using molecular methods based on 16S rRNA and ITS gene sequencing to assess both bacteria and fungi, and biochemical method based on plate counts to determine the number of culturable strains and able to degrade oil.",2017-03-12,Zhejiang University of Technology,soil metagenome
PRJNA406830,"archaea, bacteria and fungi in wheat rhizosphere and bulk soil on North China Plain Metagenome",find out the dissimilarity of microbial community in rhizosphere and bulk soil,2017-09-11,"Institute of Soil Science, Chinese Academy of Science",NA
PRJNA415280_PRJNA415285,Preconditioning Biochar-Fungal analyses,"This study was designed to assess the influence of pre-conditioning biochar media on plant health and on bacterial and fungal community structure, diversity, and microbial activity. We sampled three independent replicates soil samples from four main treatments (i) non-conditioned biochar-free substrate (NCS-CON), ii) non-conditioned biochar-amended substrate (NCS-GHW), iii) pre-conditioned biochar-free substrate (PCS-CON), and iv) pre-conditioned biochar-amended substrate (PCS-GHW). To determine the effect of biochar treatments on the diversity and composition of bacterial and fungal communities we applied a high-throughput sequencing-based protocol that targets PCR-generated amplicons from the variable regions V4 of the 16S rRNA gene using the bacterial primer set 515F/806R and using the ITS1F and ITS2 primer sets for fungi ITS1 gene. Fastq files of 24 (12-bacterial and 12-fungal analyses) libraries were produced as a result of Illumina MiSeq technology at the Research Resources Center of the University of Illinois at Chicago.",2017-10-22,"Agricultural Research Organization, The Volcani Center",NA
PRJNA418896,soil metagenome Metagenome,"community of bacteria(16S), fungi(ITS) and myxomycetes (18S) along natrual elevation gradient in the German Alps.",2017-11-17,University of Greifswald,soil metagenome
PRJNA432446,Comparison of bacteria community revealed by deep 16S rRNA pyrosequencing in two naturally suppressive or conductive soils for banana Fusarium wilt disease Raw sequence reads,"Banana Fusarium wilt disease caused by the Fusarium oxyporum f.sp.cubense race 4 fungal pathogen,has been reported to be the most limiting factor in Cavendish banana production world wise since 1996.Three field sites banana farm differing in location but have the same climate,soil type and planting time were selected to compare bacteria and fungi communities in the banana wilt diseased soils and healthy soils. In conclusion, comparisons of soil bacterial and fungi communities from fusarium wilt disease soils and Fusarium wilt suppressive (healthy) soils showed that these disease soils harbored distinctive bacterial and fungi communities,compared to healthy soils.Specifically, higher abundances of fusarium genus according with the significant FOC colonization were observed in diseased soils. Higher abundances of bacteria members within the Firmicutes phylum specifically the genera Bacillus,Lactococcus and Pseudomonas were identified in healthy soils.Meanwhile,The abundance of Ascomycota in diseased soils samples was significantly higher than in healthy soils and genera Mortierella and Trichoderma enriched in healthy soils . Moreover, the enrichment of bacillus in addition to the soil physicochemical property AP and pH were positively correlated with disease suppression.Although it is difficult to understand the exact mechanisms for enhanced disease suppression driven by the composition of the microbial community or by specific populations. Our study reveals that banana Fusarium wilt suppressive soils(healthy soils) has unique bacteria and fungi composition and we identified specific genus population that may be considered useful for consrtructing healthy soil microganism structure. Although it is difficult to describe the proportion of every genus in healthy banana farm soil or in diseased banana farm soil.This study reveals that there may be some disciplinarian of specific genus population proportion between healthy soils and diseased soils.specifically there may be a kind of balance between the pathogen and benenifical genus in healthy soil,if we obtain the balance point or range,then use theory of traditional Chinese Medicine to construct the balance will play a positive role in controlling Fusarium wilt disease.",2018-01-31,China Academy of Tropical Agricultural Sciences,uncultured prokaryote
PRJNA450848,"Diversity of bacteria, archaea, and fungi in selenium-contaminated reclaimed mine soils","Worldwide, mining and other industrial activities have resulted in selenium (Se)-enriched surface soils, which pose risks to human and environmental health. Although not well studied, microbial activity including community interactions can alter Se bioavailability and distribution, even in oxic environments. We profiled bacterial and fungal communities (diversity and taxonomy) across two reclaimed mine sites of different ages, with variable Se concentrations. We found that bacterial and fungal diversity declines with increasing Se concentrations, though the high Se reclaimed mine soils still support highly diverse bacterial and fungal communities.",2018-04-18,University of Minnesota,NA
PRJNA473079,Scalp Microbiome,Utilising a combination of NGS and qPCR techniques to compare the scalp microbiota of Chinese subjects.,2018-05-25,Unilever,NA
PRJNA478949,Clostridium Difficile Matched 16S/ITS/Metagenomics/Metatranscriptomics Dataset,"Here, we provide matched 16S,ITS,Metagenome and Metatranscriptome data obtained from CDI- and CDI+ diarrheal samples.",2018-07-02,Juniata College,NA
PRJNA492720,High-Sensitive Detection and Dynamic of Microbiome during Cocoa Bean Fermentation,"Monitoring of the fermentation microbiome was carried out on selected farms in three agroecological zones from Colombia. Valles-Interandinos-Secos (VISe), Montaña-Santandereana (MoSa) and Cafetera-Marginal-Baja (CaMab), during two periods of 2016. Cocoa beans were collected from the upper and intermediate zones of wooden boxes for 4-6 days. The microbial community composition at the 97% OTU-level was similar in all fermentation systems, and the dynamics and interactions of the OTUs of bacteria and fungi follow a predictable microbial succession.",2018-09-22,AGROSAVIA,food fermentation metagenome
PRJNA496065,Differential regulation of the response to radiation therapy by commensal bacteria and fungi,"The intestinal microbiome, typically equated with bacteria, influences the response to chemotherapy and immunotherapy in multiple cancer types. Here, we show that intestinal commensal fungi regulate the anti-tumor immune response following radiation and that fungi have an inverse relationship with bacteria in governing the response of tumors to radiation. Mice lacking commensal fungi show enhanced responsiveness to radiation, whereas mice without commensal bacteria exhibited reduced responses with associated overgrowth of commensal fungi. Mice devoid of intestinal fungi had increased intratumoral cytotoxic T cells and a reduction in suppressive T cells and macrophages. Thus, optimal responses to cancer therapies depend on the previously unrecognized commensal fungal population that mediates its effects by modulating the immunosuppressive functions of immune cells in the tumor microenvironment.",2018-10-12,Cedars-Sinai Medical Center,gut metagenome
PRJNA517449,Island biogeography of soil microbes,"The goal of this project is to study the biogeography of soil microbes, their community assembly mechanisms and interaction network under the context of habitat fragmentation.",2019-01-28,Georgia Institute of technology,soil metagenome
PRJNA525366_PRJNA525614,Bacteria Raw sequence reads,study the microorganisms in the human gut,2019-03-04,Dalian Medical University,Bacteria
PRJNA526458,Soil water stress history wheat microbiome,"Even though some plant-associated microbes are known to help plants to cope with water stress, there is little understanding about how soil water stress history and host genotype influence the response of wheat-associated microbiome under short-term decreases in soil moisture. To address this, we investigated how plant breeding history (four wheat genotypes; two with recognized drought resistance and two without) and soil water stress history (same wheat field soil from Saskatchewan with contrasting long-term irrigation) independently or interactively influenced the response of the rhizosphere, root and leaf bacterial and fungal microbiota to short-term decreases in soil moisture. We combined amplicon sequencing (16S rRNA gene for bacteria and ITS region for fungi) with real-time PCR (qPCR) to quantitatively characterize the wheat microbiome. Fungal and bacterial communities responses to short-term decreases in soil water content were mainly constrained by soil water stress history, with some smaller, but significant influence of plant genotype. One exception was the leaf-associated fungal communities, for which the largest constraint was genotype, resulting in a clear differentiation of the communities based on the genotype’s sensitivity to water stress. Interpreting the data based on relative or estimated absolute abundances revealed substantial discrepancies, suggesting that important shifts might be missed using compositional data derived from amplicon sequencing. Overall, the results from this study highlight that both plant and soil histories need to be taken into consideration when trying to understand the response of plant-associated microbiome to short-term decreases in soil moisture.",2019-03-11,National Research Council Canada,soil metagenome
PRJNA528359,Deep sequencing of the bacteriome and mycobiome in Nicotiana tabacum fields with differing black shank disease incidence,"Phytophthora nicotianae is a widespread cause of black shank disease of tobacco plants and causes substantial harvest losses in all major cultivation areas. The oomycete primarily affects plant roots and the stem where it leads to a progressing decay of the diseased tissues. In this Resource Announcement, we provide two complementary datasets comprising 16S gene fragment amplicons (bacteriome) and ITS1 region amplicons (mycobiome) that were sequenced on a Illumina-based platform. Soil samples were obtained from disease-affected fields in Guizhou province (China) and include control samples from fields without previous disease incidence. Both datasets were acquired at a high sequencing depth and accompanied by detailed metadata, which facilitate their implementation in comparative studies. The Resource Announcement provides a basis for disease-specific biomarker detection and correlation studies that include the microbiome.",2019-03-21,Graz University of Technology,NA
PRJNA550037,Yellowstone Carcass Metagenome,"We assessed how predation by large carnivors affects soil properties and ecosystem functioning by altering microbial (bacteria, fungi) biodiversity and community composition. We compared ecosystem functioning (soil respiration, decomposition, vegetation N content and vegetation C:N ratio), soil abiotic (soil C and N content, soil temperature, soil moisture), and biotic properties (soil bacterial and fungal abundance, richness, diversity, community composition) sampled on wolf-killed ungulate carcasses [bison (Bison bison Hamilton Smith), elk] with close-by control sites in Yellowstone National Park.",2019-06-21,Swiss Federal Research Institute WSL,decomposition metagenome
PRJNA561410_PRJNA561568,Cistanthe_rhizosphere_bacterial_community,Cistanthe rhizosphere bacterial community through a latitudinal gradient in the Atacama Desert,2019-08-21,centro de estudios avanzados en zonas aridas,NA
PRJNA606949,A study of soil texture effects on microbiome: HTS of 16S rRNA genes and ITS regions,"Soil texture is an essential component of soil survey for estimating potentials and limitations of land use and management. It has been appreciated as an important predictor for numerous soil processes. However, its connections with the diversity and composition of the soil microbial community remain less understood. This work employed a marker gene high-throughput sequencing approach to determine soil texture-based patterns of bacterial and fungal distribution. Thirty-six intact soil cores were sampled from bermudagrass ecosystems across seven soil texture classes with sand fraction varying from 30.3 to 83.4 percent and clay fraction from 4.4 to 53.0 percent. These soil cores were arranged into three sets of equal numbers, and each set of 12 was subjected to three moisture regimes (dry spell, field moisture, and saturation-field capacity), respectively, for 15 days. Soil cores were further stratified into top and bottom sections, leading to a total of 72 samples with varying soil physical and chemical properties. Our data revealed that fungal alpha diversity was more strongly related to soil texture than the bacterial one, with fungal species richness and Shannon diversity being positively correlated with the sand fraction. Soil texture was the second most important factor after soil pH in shaping the soil microbial community. Relative abundances of some fungi (Basidiomycota and Eurotiomycetes) and filamentous bacteria (Actinobacteria and Chloroflexi) significantly increased with silt and/or clay content. The genetic potential for the degradation of organic compounds also appeared to be higher in finer textured soils than the coarse-textured soils. By identifying sand, silt or clay-preferred microbial taxa and characterizing mineral particle-dependent genetic potential of organic carbon degradation and nitrogen cycling, this work highlighted the significance of soil texture and further discussed texture-associated pores and resource locality in regulating microbial diversity and composition.",2020-02-16,North Carolina State University,NA
