,Taxonomic ID,Organism Name,Functional Repertoire Size,HabitatPreference,TemperaturePreference,OxygenPreference
uid57673,222523,Bacillus cereus ATCC 10987,4250,"Multi (Dairy isolate, Soil, Host)",Mesophile,Facultative
uid57975,226900,Bacillus cereus ATCC 14579,3886,"Multi (Soil, Host)",Mesophile,Facultative
uid58757,405532,Bacillus cereus B4264,4051,"Multi (Host, Soil)",Mesophile,Facultative
uid50615,637380,Bacillus cereus biovar anthracis CI,3805,"Multi (Soil, Host)",Mesophile,Aerobe
uid58103,288681,Bacillus cereus E33L,3790,"Multi (Host, Soil)",Mesophile,Facultative
uid58759,405531,Bacillus cereus G9842,4042,"Multi (Soil, Host)",Mesophile,Facultative
uid58529,361100,Bacillus cereus Q1,3865,"Soil (Oil fields, Soil)",Mesophile,Facultative
uid58237,66692,Bacillus clausii KSM K16,3040,Soil,Mesophile,Aerobe
uid68053,941639,Bacillus coagulans 2 6,2405,Soil,Thermophile,Facultative
uid54335,345219,Bacillus coagulans 36D1,2585,Soil,Thermophile (Thermotolerant),Facultative
uid58317,315749,Bacillus cytotoxicus NVH 391 98,3026,"Soil (Soil, Terrestrial)",Psychrophile (Psychrotolerant),Facultative
uid57791,272558,Bacillus halodurans C 125,3127,"Multi (Fresh water, Soil)",Mesophile,Facultative
uid58097,279010,Bacillus licheniformis ATCC 14580,3229,"Multi (Soil, Host)",Mesophile,Facultative
uid58199,279010,Bacillus licheniformis ATCC 14580,3189,"Multi (Soil, Host)",Mesophile,Facultative
uid48371,592022,Bacillus megaterium DSM319,3694,Soil,Mesophile,Facultative
uid15862,545693,Bacillus megaterium QM B1551,3720,Soil,Mesophile,Aerobe
uid45847,398511,Bacillus pseudofirmus OF4,3140,"Soil (Soil, Terrestrial)",Mesophile,Facultative
uid59017,315750,Bacillus pumilus SAFR 032,2914,"Soil (Soil, Terrestrial)",Mesophile,Aerobe
uid49513,439292,Bacillus selenitireducens MLS10,2547,Fresh water,Mesophile,Facultative
uid57675,224308,Bacillus subtilis 168,3250,Soil,Mesophile,Facultative
uid62463,936156,Bacillus subtilis BSn5,3230,"Multi (Plants, Soil, Host)",Mesophile,Facultative
uid73967,1052585,Bacillus subtilis spizizenii TU B 10,3294,,,
uid51879,655816,Bacillus subtilis spizizenii W23,3155,Soil,Mesophile,Facultative
uid58795,412694,Bacillus thuringiensis Al Hakam,3460,"Multi (Host, Soil)",Mesophile,Facultative
uid49135,714359,Bacillus thuringiensis BMB171,3775,Host,Mesophile,Aerobe (Microaerophilic)
uid58089,281309,Bacillus thuringiensis serovar konkukian 97 27,3742,"Multi (Host, Soil)",Mesophile,Facultative
uid48361,562970,Bacillus tusciae DSM 2912,2370,,Thermophile,Aerobe
uid58315,315730,Bacillus weihenstephanensis KBAB4,3845,Soil,Psychrophile (Psychrotolerant),Facultative
uid57639,272559,Bacteroides fragilis NCTC 9343,3158,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe (Obligate anaerobe)
uid58195,295405,Bacteroides fragilis YCH46,3474,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe (Obligate anaerobe)
uid62135,693979,Bacteroides helcogenes P 36 108,2597,Host,Mesophile,Anaerobe
uid63269,667015,Bacteroides salanitronis DSM 18170,2715,Host,Mesophile,Anaerobe
uid62913,226186,Bacteroides thetaiotaomicron VPI 5482,3278,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe (Obligate anaerobe)
uid58253,435590,Bacteroides vulgatus ATCC 8482,2922,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid58533,360095,Bartonella bacilliformis KC583,1121,"Host (Host, Blood)",Mesophile,Aerobe
uid62131,696125,Bartonella clarridgeiae 73,1159,Host,Mesophile,Aerobe
uid59405,634504,Bartonella grahamii as4aup,1268,"Host (Blood, Host)",Mesophile,Aerobe
uid57745,283166,Bartonella henselae Houston 1,1188,Host,Mesophile,Aerobe
uid57635,283165,Bartonella quintana Toulouse,1010,"Host (Gut of the body louse, Host)",Mesophile,Aerobe
uid59129,382640,Bartonella tribocorum CIP 105476,1307,Host,Mesophile,Aerobe
uid58111,374463,Baumannia cicadellinicola Hc Homalodisca coagulata,564,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid61595,264462,Bdellovibrio bacteriovorus HD100,3024,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid59057,395963,Beijerinckia indica ATCC 9039,2784,Soil,Mesophile,Aerobe
uid59047,471853,Beutenbergia cavernae DSM 12333,2971,Soil,Mesophile,Aerobe
uid58559,367928,Bifidobacterium adolescentis ATCC 15703,1370,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid58911,442563,Bifidobacterium animalis lactis AD011,1301,"Human (Host, Human fecal, Intestinal microflora)",Mesophile,Anaerobe
uid59359,580050,Bifidobacterium animalis lactis Bl 04,1337,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid59357,555970,Bifidobacterium animalis lactis DSM 10140,1337,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid59883,702459,Bifidobacterium bifidum PRL2010,1442,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid59545,883062,Bifidobacterium bifidum S17,1529,"Human (Host, Human intestinal microflora)",Mesophile,Anaerobe
uid43091,401473,Bifidobacterium dentium Bd1,1680,Host,Mesophile,Anaerobe
uid60163,890402,Bifidobacterium longum BBMN68,1471,Host,Mesophile,
uid58833,205913,Bifidobacterium longum DJO10A,1585,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid62693,565040,Bifidobacterium longum infantis 157F,1608,Host,Mesophile,Anaerobe
uid58677,391904,Bifidobacterium longum infantis ATCC 15697,1889,Host,Mesophile,Anaerobe
uid62695,565042,Bifidobacterium longum JCM 1217,1565,Host,Mesophile,Anaerobe
uid49131,759350,Bifidobacterium longum JDM301,1550,"Human (Host, Human vaginal microflora)",Mesophile,
uid57939,206672,Bifidobacterium longum NCC2705,1439,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid41533,331104,Blattabacterium Blattella germanica Bge,564,"Host (Host, Insect endosymbiont)",Mesophile,Aerobe
uid77127,1074889,Blattabacterium Mastotermes darwiniensis MADAR,518,,,
uid41287,600809,Blattabacterium Periplaneta americana BPLAN,557,"Host (Host, Insect endosymbiont)",Mesophile,Aerobe
uid61563,360910,Bordetella avium 197N,2581,Host,Mesophile,Aerobe
uid57613,257310,Bordetella bronchiseptica RB50,3135,Host,Mesophile,Aerobe (Obligate aerobe)
uid57615,257311,Bordetella parapertussis 12822,2729,Host,Mesophile,Aerobe (Obligate aerobe)
uid57617,257313,Bordetella pertussis Tohama I,2320,Host,Mesophile,Aerobe
uid61631,340100,Bordetella petrii DSM 12804,3124,,,
uid58653,390236,Borrelia afzelii PKo,784,Host,Mesophile,Aerobe
uid71231,521010,Borrelia bissettii DN127,758,,,
uid57581,224326,Borrelia burgdorferi B31,785,Host,Mesophile,Aerobe
uid59429,445985,Borrelia burgdorferi ZS7,751,Host,Mesophile,Aerobe (Microaerophilic)
uid58791,412419,Borrelia duttonii Ly,757,Host,Mesophile,Aerobe
uid58125,290434,Borrelia garinii PBi,766,Host,Mesophile,Aerobe
uid59225,314723,Borrelia hermsii DAH,762,Host,Mesophile,Aerobe
uid58793,412418,Borrelia recurrentis A1,743,Host,Mesophile,Aerobe
uid58311,314724,Borrelia turicatae 91E135,760,Host,Mesophile,Aerobe
uid58649,446465,Brachybacterium faecium DSM 4810,2364,Soil,Mesophile,Aerobe
uid59291,565034,Brachyspira hyodysenteriae WA1,1987,Host,Mesophile,Anaerobe
uid48819,526224,Brachyspira murdochii DSM 12563,2102,"Host (Host, Intestinal microflora)",Mesophile,Anaerobe
uid50609,759914,Brachyspira pilosicoli 95 1000,1891,Host,Mesophile,Anaerobe
uid58505,288000,Bradyrhizobium BTAi1,4749,"Multi (Root nodule, Host, Soil)",Mesophile,Aerobe
uid57599,224911,Bradyrhizobium japonicum USDA 110,5189,"Host (Host, Root nodule)",Mesophile,Aerobe
uid58941,114615,Bradyrhizobium ORS 278,4624,"Multi (Soil, Host, Root nodule)",Mesophile,Aerobe
uid59175,358681,Brevibacillus brevis NBRC 100599,4297,Soil,Mesophile,Aerobe
uid42117,633149,Brevundimonas subvibrioides ATCC 15264,2809,Fresh water,Mesophile,Aerobe
uid58019,262698,Brucella abortus bv 1 9 941,1792,Host,Mesophile,Facultative
uid58873,430066,Brucella abortus S19,1688,Host,Mesophile,Aerobe
uid59009,483179,Brucella canis ATCC 23365,1831,Host,Mesophile,Aerobe
uid59241,546272,Brucella melitensis ATCC 23457,1798,Host,Mesophile,Aerobe
uid62937,359391,Brucella melitensis biovar Abortus 2308,1753,Host,Mesophile,Aerobe
uid57735,224914,Brucella melitensis bv 1 16M,1731,Host,Mesophile,Aerobe
uid59319,568815,Brucella microti CCM 4915,1834,"Multi (Host, Soil)",Mesophile,Aerobe
uid58113,444178,Brucella ovis ATCC 25840,1643,"Host (Host, Macrophage)",Mesophile,Facultative
uid71131,520461,Brucella pinnipedialis B2 94,1847,Host,Mesophile,Aerobe
uid57927,204722,Brucella suis 1330,1866,Host,Mesophile,Aerobe
uid59015,470137,Brucella suis ATCC 23445,1682,Host,Mesophile,Aerobe
uid59285,563178,Buchnera aphidicola 5A Acyrthosiphon pisum,530,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid57805,107806,Buchnera aphidicola APS Acyrthosiphon pisum,537,"Host (Host, Insect endosymbiont, Endosymbiont)",Mesophile,
uid57827,224915,Buchnera aphidicola Bp Baizongia pistaciae,486,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid58579,372461,Buchnera aphidicola Cc Cinara cedri,344,,,
uid68101,261317,Buchnera aphidicola Cinara tujafilina,348,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid57913,198804,Buchnera aphidicola Sg Schizaphis graminum,524,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid59283,561501,Buchnera aphidicola Tuc7 Acyrthosiphon pisum,528,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid58073,269483,Burkholderia 383,2600,"Host (Host, Rhizosphere)",Mesophile,Facultative
uid58303,339670,Burkholderia ambifaria AMMD,2565,"Host (Host, Rhizosphere, Rhizosphere-colonizing)",Mesophile,Facultative
uid58701,398577,Burkholderia ambifaria MC40 6,2454,"Host (Host, Rhizosphere, Rhizosphere-colonizing)",Mesophile,Facultative
uid42975,640510,Burkholderia CCGE1001,2741,"Host (Rhizosphere, Host, Rhizosphere-colonizing)",Mesophile,Facultative
uid42523,640511,Burkholderia CCGE1002,2469,"Host (Host, Rhizosphere, Rhizosphere-colonizing)",Mesophile,Facultative
uid46253,640512,Burkholderia CCGE1003,2635,"Host (Host, Rhizosphere, Rhizosphere-colonizing)",Mesophile,Facultative
uid58371,331271,Burkholderia cenocepacia AU 1054,2315,Host,Mesophile,Facultative
uid58369,331272,Burkholderia cenocepacia HI2424,2531,"Multi (Host, Soil)",Mesophile,Facultative
uid57953,216591,Burkholderia cenocepacia J2315,2645,Host,Mesophile,Aerobe
uid58769,406425,Burkholderia cenocepacia MC0 3,2516,Host,Mesophile,Facultative
uid66301,999541,Burkholderia gladioli BSR3,2824,,,
uid59397,626418,Burkholderia glumae BGR1,2610,Host,Mesophile,Aerobe
uid72473,868597,Burkholderia JV3,3247,,,
uid57725,243160,Burkholderia mallei ATCC 23344,2359,"Multi (Host, Soil)",Mesophile,Aerobe
uid58383,412022,Burkholderia mallei NCTC 10229,2595,Host,Mesophile,Aerobe
uid58385,320389,Burkholderia mallei NCTC 10247,2597,Host,Mesophile,Aerobe
uid58387,320388,Burkholderia mallei SAVP1,2688,Host,Mesophile,Aerobe
uid58697,395019,Burkholderia multivorans ATCC 17616,2486,Host,Mesophile,Facultative
uid58909,395019,Burkholderia multivorans ATCC 17616,2457,Host,Mesophile,Facultative
uid58699,391038,Burkholderia phymatum STM815,2447,"Multi (Plant root, Root nodule, Host, Soil)",Mesophile,Facultative
uid58729,398527,Burkholderia phytofirmans PsJN,2922,"Multi (Host, Soil)",Mesophile,Facultative
uid58515,357348,Burkholderia pseudomallei 1106a,3267,"Multi (Terrestrial, Soil, Host)",Mesophile,Aerobe
uid58391,320372,Burkholderia pseudomallei 1710b,2987,"Multi (Soil, Terrestrial, Host)",Mesophile,Aerobe
uid58389,320373,Burkholderia pseudomallei 668,3225,"Multi (Soil, Terrestrial, Host)",Mesophile,Aerobe
uid57733,272560,Burkholderia pseudomallei K96243,2711,"Multi (Soil, Host)",Mesophile,Aerobe
uid29855,536230,Burkholderia pseudomallei MSHR346,3411,"Multi (Soil, Host)",Mesophile,Aerobe
uid60487,882378,Burkholderia rhizoxinica HKI 454,2338,Host,,
uid58081,271848,Burkholderia thailandensis E264,2561,Soil,Mesophile,Aerobe
uid58075,269482,Burkholderia vietnamiensis G4,2659,Other (Wastewater),Mesophile,Facultative
uid57823,266265,Burkholderia xenovorans LB400,3265,"Multi (Soil, Host)",Mesophile,Aerobe
uid51489,515622,Butyrivibrio proteoclasticus B316,2318,"Host (Cow rumen, Host, Rumen)",Mesophile,Anaerobe
uid59201,521460,Caldicellulosiruptor bescii DSM 6725,2104,"Fresh water (Fresh water, Hot spring)",Thermophile,Anaerobe (Obligate anaerobe)
uid60157,632292,Caldicellulosiruptor hydrothermalis 108,2034,Other (Hot spring),Thermophile (Hyperthermophile),Anaerobe
uid60393,632335,Caldicellulosiruptor kristjanssonii 177R1B,1998,Other (Hot spring),Thermophile (Hyperthermophile),Anaerobe
uid60491,632348,Caldicellulosiruptor kronotskyensis 2002,1991,Other (Hot spring),Thermophile,Anaerobe
uid60575,632516,Caldicellulosiruptor lactoaceticus 6A,1843,Other (Hot spring),Thermophile,Anaerobe
uid51501,608506,Caldicellulosiruptor obsidiansis OB47,1810,Other (Hot spring),Thermophile (Hyperthermophile),Anaerobe
uid60165,632518,Caldicellulosiruptor owensensis OL,1774,Other (Hot spring),Thermophile (Hyperthermophile),Anaerobe
uid58289,351627,Caldicellulosiruptor saccharolyticus DSM 8903,1996,Other (Hot spring),Thermophile,Anaerobe
uid60821,768670,Calditerrivibrio nitroreducens DSM 19672,1740,Host,Thermophile,Anaerobe
uid58667,360104,Campylobacter concisus 13826,1690,"Host (Host, Wastewater)",Mesophile,Aerobe (Microaerophilic)
uid58669,360105,Campylobacter curvus 525 92,1721,"Host (Host, Wastewater)",Mesophile,Aerobe (Microaerophilic)
uid58545,360106,Campylobacter fetus 82 40,1526,"Host (Host, Wastewater)",Mesophile,Aerobe (Microaerophilic)
uid58981,360107,Campylobacter hominis ATCC BAA 381,1510,"Host (Gastrointestinal tract, Host)",Mesophile,Aerobe (Microaerophilic)
uid58503,354242,Campylobacter jejuni 81 176,1429,"Host (Wastewater, Host)",Mesophile,Aerobe (Microaerophilic)
uid58771,407148,Campylobacter jejuni 81116,1441,"Host (Wastewater, Host)",Mesophile,Aerobe (Microaerophilic)
uid58671,360109,Campylobacter jejuni doylei 269 97,1526,"Host (Blood, Host, Wastewater)",Mesophile,Aerobe (Microaerophilic)
uid61249,757425,Campylobacter jejuni ICDCCJ07001,1278,"Host (Wastewater, Host)",Mesophile,Aerobe (Microaerophilic)
uid57587,192222,Campylobacter jejuni NCTC 11168,1429,"Host (Host, Wastewater)",Mesophile,Aerobe (Microaerophilic)
uid57899,195099,Campylobacter jejuni RM1221,1626,"Host (Host, Wastewater)",Mesophile,Aerobe (Microaerophilic)
uid58115,306263,Campylobacter lari RM2100,1342,"Multi (Fresh water, Soil, Host)",Mesophile,Aerobe (Microaerophilic)
uid59207,522306,Candidatus Accumulibacter phosphatis clade IIA UW 1,3277,"Other (Sediment, Sludge)",Mesophile,Aerobe
uid58963,452471,Candidatus Amoebophilus asiaticus 5a2,918,Host,Mesophile,
uid71379,1029718,Candidatus Arthromitus SFB mouse Japan,1302,,,
uid73425,1041504,Candidatus Arthromitus SFB rat Yit,1186,,,
uid59163,511995,Candidatus Azobacteroides pseudotrichonymphae genomovar CFP2,700,Host,Mesophile,
uid57999,203907,Candidatus Blochmannia floridanus,556,"Host (Bacteriocytes, Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid58329,291272,Candidatus Blochmannia pennsylvanicus BPEN,580,"Host (Insect endosymbiont, Endosymbiont, Host)",Mesophile,
uid62083,859654,Candidatus Blochmannia vafer BVAF,559,"Host (Bacteriocytes, Endosymbiont, Host, Insect endosymbiont)",,
uid58773,387662,Candidatus Carsonella ruddii,179,"Host (Endosymbiont, Host, Insect endosymbiont)",Mesophile,
uid73587,981222,Candidatus Chloracidobacterium thermophilum B,1841,,,
uid62959,456827,Candidatus Cloacamonas acidaminovorans,1559,"Other (Sludge, Wastewater treatment plant)",Mesophile,Anaerobe
uid59067,477974,Candidatus Desulforudis audaxviator MP104C,1804,Other (Deep subsurface),Thermophile,Anaerobe
uid59289,572265,Candidatus Hamiltonella defensa 5AT Acyrthosiphon pisum,1642,Host,Mesophile,
uid59311,573234,Candidatus Hodgkinia cicadicola Dsem,166,Host,,
uid58479,204669,Candidatus Koribacter versatilis Ellin345,3704,"Multi (Fresh water, Soil, Terrestrial)",Mesophile,Aerobe
uid59227,537021,Candidatus Liberibacter asiaticus psy62,996,Host,Mesophile,
uid61245,658172,Candidatus Liberibacter solanacearum CLso ZC1,992,Host,Mesophile,
uid68687,696127,Candidatus Midichloria mitochondrii IricVA,989,Host,Mesophile,
